caseid	ideol7b	presvote	retecon	white	female	age	educ1_7	income	partyid	bushiraq	exptrnout2
640.0	4.0	0	-0.5	0.0	1	45.0	7.0	17.0	0.0	0.0	1
644.0	2.0	0	-1.0	0.0	1	18.0	2.0	12.0	1.0	0.0	1
645.0	6.0	1	0.5	1.0	1	30.0	6.0	21.0	5.0	1.0	1
646.0	4.0	1	0.5	1.0	0	64.0	5.0	22.0	4.0	0.6666667	1
647.0	2.0	1	0.5	0.0	0	31.0	5.0	12.0	4.0	1.0	1
649.0	6.0	1	0.0	1.0	1	74.0	4.0	21.0	6.0	0.6666667	1
650.0	2.0	0	-0.5	1.0	1	54.0	7.0	23.0	0.0	0.0	1
651.0	1.0	0	-1.0	0.0	1	21.0	4.0	20.0	0.0	0.0	1
652.0	4.0	0	-1.0	1.0	1	69.0	1.0	7.0	0.0	0.0	1
653.0	3.0	0	-1.0	1.0	1	38.0	7.0	21.0	0.0	0.0	1
655.0	2.0	0	-1.0	1.0	1	27.0	6.0	11.0	0.0	0.0	1
675.0	6.0	1	1.0	1.0	0	44.0	4.0	23.0	6.0	1.0	1
680.0	4.0	1	0.5	1.0	1	61.0	7.0	23.0	6.0	1.0	1
682.0	6.0	1	-0.5	1.0	0	27.0	4.0	18.0	5.0	0.6666667	1
684.0	4.0	1	1.0	0.0	0	57.0	7.0	23.0	5.0	0.33333334	1
692.0	6.0	1	0.5	1.0	1	60.0	7.0	23.0	6.0	1.0	1
694.0	2.0	0	-1.0	1.0	0	49.0	2.0	8.0	1.0	0.0	1
698.0	2.0	0	-1.0	0.0	0	61.0	7.0	1.0	0.0	0.0	1
699.0	6.0	1	0.5	0.0	1	25.0	6.0	10.0	6.0	1.0	1
701.0	6.0	1	0.0	1.0	1	77.0	3.0	12.0	6.0	1.0	1
704.0	4.0	0	-0.5	0.0	1	27.0	4.0	18.0	2.0	0.0	1
710.0	4.0	1	0.5	1.0	1	61.0	4.0	12.0	3.0	1.0	1
717.0	4.0	0	0.0	0.0	1	83.0	6.0	14.0	2.0	0.0	1
718.0	7.0	1	0.5	1.0	1	65.0	7.0	12.0	6.0	0.6666667	1
720.0	6.0	1	-0.5	1.0	1	63.0	4.0	17.0	6.0	0.6666667	1
721.0	3.0	0	-1.0	1.0	1	63.0	2.0	15.0	0.0	0.0	1
727.0	6.0	0	-0.5	0.0	0	26.0	2.0	13.0	0.0	0.33333334	1
731.0	2.0	0	-0.5	0.0	0	23.0	4.0	14.0	0.0	0.0	1
735.0	5.0	1	0.5	1.0	1	50.0	4.0	18.0	5.0	0.6666667	1
736.0	5.0	0	0.0	1.0	1	49.0	5.0	18.0	2.0	0.0	1
737.0	2.0	0	0.0	1.0	0	25.0	4.0	12.0	2.0	0.0	1
739.0	5.0	0	-1.0	0.0	1	60.0	7.0	17.0	1.0	0.0	1
740.0	4.0	0	-1.0	1.0	0	55.0	4.0	18.0	0.0	1.0	1
744.0	5.0	1	0.0	1.0	1	57.0	3.0	14.0	5.0	0.6666667	1
746.0	4.0	1	0.5	1.0	1	49.0	5.0	16.0	1.0	1.0	1
752.0	4.0	0	0.0	0.0	0	50.0	4.0	16.0	1.0	1.0	1
755.0	4.0	0	-0.5	1.0	0	45.0	7.0	21.0	1.0	0.0	1
759.0	4.0	0	0.0	0.0	1	23.0	6.0	22.0	2.0	0.0	1
760.0	4.0	0	-1.0	0.0	1	30.0	3.0	2.0	3.0	0.0	1
767.0	3.0	0	-1.0	0.0	1	70.0	6.0	19.0	0.0	0.0	1
768.0	5.0	1	0.5	1.0	1	45.0	7.0	23.0	6.0	1.0	1
769.0	6.0	1	0.0	1.0	0	47.0	6.0	1.0	4.0	0.6666667	1
772.0	3.0	1	0.5	1.0	0	36.0	6.0	18.0	6.0	0.6666667	1
774.0	4.0	0	-0.5	1.0	1	31.0	6.0	16.0	1.0	0.0	1
776.0	5.0	1	-0.5	1.0	1	24.0	6.0	12.0	4.0	0.6666667	1
777.0	7.0	0	-1.0	0.0	0	22.0	4.0	21.0	2.0	0.0	1
778.0	4.0	1	0.0	1.0	1	31.0	6.0	13.0	4.0	1.0	1
779.0	4.0	0	-1.0	0.0	1	35.0	5.0	9.0	1.0	0.0	1
783.0	7.0	1	0.5	1.0	0	37.0	6.0	21.0	6.0	1.0	1
786.0	4.0	1	0.0	1.0	1	42.0	6.0	18.0	4.0	1.0	1
789.0	6.0	1	0.5	1.0	0	65.0	6.0	23.0	6.0	1.0	1
791.0	2.0	0	-0.5	1.0	1	42.0	7.0	16.0	1.0	0.0	1
795.0	6.0	0	0.0	1.0	1	57.0	3.0	15.0	2.0	0.0	1
796.0	4.0	1	0.5	1.0	1	51.0	5.0	20.0	4.0	0.33333334	1
801.0	4.0	0	-0.5	0.0	1	61.0	4.0	6.0	0.0	1.0	1
810.0	4.0	0	-1.0	1.0	1	42.0	3.0	10.0	6.0	0.0	1
813.0	5.0	1	0.5	0.0	0	46.0	7.0	23.0	5.0	0.6666667	1
815.0	5.0	1	0.0	1.0	0	49.0	4.0	21.0	5.0	0.33333334	1
818.0	4.0	1	0.0	1.0	1	39.0	5.0	15.0	4.0	0.6666667	1
822.0	2.0	0	0.5	1.0	0	29.0	6.0	18.0	0.0	0.0	1
835.0	4.0	1	-0.5	0.0	0	48.0	3.0	11.0	2.0	1.0	1
836.0	6.0	1	0.5	1.0	0	53.0	6.0	17.0	4.0	0.6666667	1
837.0	6.0	1	0.0	1.0	1	35.0	4.0	15.0	5.0	0.6666667	1
844.0	6.0	1	-0.5	1.0	1	64.0	3.0	10.0	6.0	0.6666667	1
849.0	6.0	0	0.5	1.0	1	84.0	3.0	12.0	1.0	0.33333334	1
856.0	6.0	1	0.5	1.0	1	43.0	6.0	23.0	6.0	0.6666667	1
860.0	6.0	1	0.0	1.0	1	63.0	3.0	15.0	6.0	1.0	1
863.0	3.0	1	0.5	1.0	0	18.0	3.0	23.0	5.0	0.6666667	1
867.0	4.0	0	0.5	1.0	1	29.0	3.0	22.0	0.0	0.0	1
872.0	4.0	1	0.0	1.0	1	48.0	6.0	13.0	4.0	0.6666667	1
873.0	6.0	1	0.5	1.0	1	29.0	4.0	14.0	6.0	1.0	1
876.0	6.0	1	0.0	1.0	0	79.0	6.0	19.0	4.0	0.6666667	1
885.0	4.0	1	-0.5	1.0	1	32.0	7.0	14.0	5.0	1.0	1
888.0	5.0	1	1.0	1.0	0	49.0	5.0	13.0	3.0	0.33333334	1
893.0	6.0	1	0.0	1.0	1	24.0	5.0	18.0	5.0	0.33333334	1
897.0	4.0	0	-0.5	1.0	0	65.0	4.0	20.0	0.0	0.0	1
898.0	3.0	0	-1.0	1.0	0	61.0	3.0	21.0	0.0	0.0	1
899.0	4.0	0	0.5	1.0	1	61.0	5.0	17.0	5.0	0.6666667	1
901.0	1.0	0	-1.0	1.0	1	63.0	7.0	18.0	0.0	0.0	1
903.0	3.0	0	-1.0	0.0	0	64.0	4.0	20.0	1.0	0.0	1
907.0	5.0	1	0.5	1.0	0	63.0	7.0	23.0	5.0	0.6666667	1
908.0	5.0	1	0.5	1.0	0	36.0	5.0	21.0	5.0	1.0	1
911.0	5.0	0	-0.5	0.0	1	35.0	3.0	14.0	1.0	0.0	1
913.0	4.0	0	-0.5	0.0	0	43.0	4.0	11.0	0.0	0.0	1
916.0	3.0	0	0.0	1.0	0	40.0	7.0	22.0	2.0	0.0	1
919.0	4.0	0	0.0	0.0	1	61.0	3.0	10.0	0.0	0.0	1
922.0	1.0	0	0.0	0.0	1	28.0	6.0	6.0	0.0	0.0	1
924.0	4.0	0	-1.0	1.0	1	75.0	4.0	10.0	3.0	0.0	1
929.0	4.0	0	0.0	1.0	0	40.0	5.0	21.0	3.0	0.33333334	1
930.0	3.0	0	-0.5	1.0	0	74.0	4.0	6.0	0.0	0.0	1
932.0	6.0	1	-1.0	1.0	1	86.0	1.0	12.0	6.0	0.0	1
943.0	5.0	1	0.5	1.0	1	23.0	4.0	5.0	6.0	0.6666667	1
947.0	2.0	0	0.0	1.0	1	28.0	6.0	19.0	1.0	0.0	1
951.0	2.0	0	-1.0	0.0	0	58.0	7.0	23.0	0.0	0.0	1
953.0	2.0	0	0.0	1.0	1	51.0	4.0	16.0	0.0	0.0	1
